island structure and short distance dependency,island structure and long distance dependency (ungrammatical),nonisland structure and long distance dependency,nonisland structure and short distance dependency
Chi si domanda se io abbia apprezzato il regalo?,Cosa ti domandi se io abbia apprezzato?,Cosa pensi che io abbia apprezzato?,Chi pensa che io abbia apprezzato il regalo?
Chi si domanda se io abbia risolto il problema?,Cosa ti domandi se io abbia risolto?,Cosa pensi che io abbia risolto?,Chi pensa che io abbia risolto il problema?
Chi si domanda se io abbia superato l'esame?,Cosa ti domandi se io abbia superato?,Cosa pensi che io abbia superato?,Chi pensa che io abbia superato l'esame?
Chi si domanda se io abbia infranto gli accordi?,Cosa ti domandi se io abbia infranto?,Cosa pensi che io abbia infranto?,Chi pensa che io abbia infranto gli accordi?
Chi si domanda se io abbia mantenuto la promessa?,Cosa ti domandi se io abbia mantenuto?,Cosa pensi che io abbia mantenuto?,Chi pensa che io abbia mantenuto la promessa?
Chi si domanda se io abbia tradito la fiducia?,Cosa ti domandi se io abbia tradito?,Cosa pensi che io abbia tradito?,Chi pensa che io abbia tradito la fiducia?
Chi si domanda se io abbia studiato la teoria?,Cosa ti domandi se io abbia studiato?,Cosa pensi che io abbia studiato?,Chi pensa che io abbia studiato la teoria?
Chi si domanda se io abbia violato la legge?,Cosa ti domandi se io abbia violato?,Cosa pensi che io abbia violato?,Chi pensa che io abbia violato la legge?
Chi si domanda se io abbia diffuso la notizia?,Cosa ti domandi se io abbia diffuso?,Cosa pensi che io abbia diffuso?,Chi pensa che io abbia diffuso la notizia?
Chi si domanda se io abbia ritrovato il portafogli?,Cosa ti domandi se io abbia ritrovato?,Cosa pensi che io abbia ritrovato?,Chi pensa che io abbia ritrovato il portafogli?
Chi si domanda se io abbia riparato il frigorifero?,Cosa ti domandi se io abbia riparato?,Cosa pensi che io abbia riparato?,Chi pensa che io abbia riparato il frigorifero?
Chi si domanda se io abbia organizzato la festa?,Cosa ti domandi se io abbia organizzato?,Cosa pensi che io abbia organizzato?,Chi pensa che io abbia organizzato la festa?
Chi si domanda se io abbia preso il treno?,Cosa ti domandi se io abbia preso?,Cosa pensi che io abbia preso?,Chi pensa che io abbia preso il treno?
Chi si domanda se io abbia completato la costruzione?,Cosa ti domandi se io abbia completato?,Cosa pensi che io abbia completato?,Chi pensa che io abbia completato la costruzione?
Chi si domanda se io abbia approvato la domanda?,Cosa ti domandi se io abbia approvato?,Cosa pensi che io abbia approvato?,Chi pensa che io abbia approvato la domanda?
Chi si domanda se io abbia presentato l’emendamento?,Cosa ti domandi se io abbia presentato?,Cosa pensi che io abbia presentato?,Chi pensa che io abbia presentato l’emendamento?
Chi si domanda se io abbia comprato un telefono?,Cosa ti domandi se io abbia comprato?,Cosa pensi che io abbia comprato?,Chi pensa che io abbia comprato un telefono?
Chi si domanda se io abbia presentato l'iscrizione?,Cosa ti domandi se io abbia presentato?,Cosa pensi che io abbia presentato?,Chi pensa che io abbia presentato l'iscrizione?
Chi si domanda se io abbia aumentato l’affitto?,Cosa ti domandi se io abbia aumentato?,Cosa pensi che io abbia aumentato?,Chi pensa che io abbia aumentato l'affitto?
Chi si domanda se io abbia tosato il prato?,Cosa ti domandi se io abbia tosato?,Cosa pensi che io abbia tosato?,Chi pensa che io abbia tosato il prato?
Chi si domanda se io abbia stirato la camicia?,Cosa ti domandi se io abbia stirato?,Cosa pensi che io abbia stirato?,Chi pensa che io abbia stirato la camicia?
