island structure and short distance dependency,island structure and long distance dependency (ungrammatical),nonisland structure and long distance dependency,nonisland structure and short distance dependency
Chi ha smentito la notizia che il comune avrebbe demolito l’edificio?,Cosa hai smentito la notizia che il comune avrebbe demolito?,Cosa hai smentito che il comune avrebbe demolito?,Chi ha smentito che il comune avrebbe demolito l’edificio?
Chi ha difeso la proposta che l'organizzatore rimandasse il viaggio?,Cosa hai difeso la proposta che l'organizzatore rimandasse?,Cosa hai proposto che l'organizzatore rimandasse?,Chi ha proposto che l'organizzatore rimandasse il viaggio?
Chi ha riferito il fatto che Gianni avrebbe sollevato un’eccezione?,Cosa hai riferito il fatto che Gianni avrebbe sollevato?,Cosa hai detto che Gianni avrebbe sollevato?,Chi ha detto che Gianni avrebbe sollevato un’eccezione?
Chi ha sostenuto la tesi che gli incentivi avrebbero diminuito la disoccupazione?,Cosa hai sostenuto la tesi che gli incentivi avrebbero diminuito?,Cosa hai sostenuto che gli incentivi avrebbero diminuito?,Chi ha sostenuto che gli incentivi avrebbero diminuito la disoccupazione?
Chi ha fatto la richiesta che Mario esponesse l'argomento?,Cosa hai fatto la richiesta che Mario esponesse?,Cosa hai richiesto che Mario esponesse?,Chi ha richiesto che Mario esponesse l'argomento?
Chi ha messo in dubbio la previsione che il portavoce avrebbe confermato la notizia?,Cosa hai messo in dubbio la previsione che il portavoce avrebbe confermato?,Cosa hai messo in dubbio che il portavoce avrebbe confermato?,Chi ha messo in dubbio che il portavoce avrebbe confermato la notizia?
Chi ha raccontato la storia che Paolo avrebbe preparato la ricetta?,Cosa hai raccontato la storia che Paolo avrebbe preparato?,Cosa hai raccontato che Paolo avrebbe preparato?,Chi ha raccontato che Paolo avrebbe preparato la ricetta?
Chi ha diffuso l’indiscrezione che l'autrice avrebbe presentato il manoscritto all’editore?,Cosa hai diffuso l’indiscrezione che l'autrice avrebbe presentato all’editore?,Cosa hai insinuato che l'autrice avrebbe presentato all’editore?,Chi ha insinuato che l'autrice avrebbe presentato il manoscritto all’editore?
Chi ha diffuso la notizia che l’azienda avrebbe trasferito la produzione in Romania?,Cosa hai diffuso la notizia che l’azienda avrebbe trasferito in Romania?,Cosa hai riferito che l’azienda avrebbe trasferito in Romania?,Chi ha riferito che l’azienda avrebbe trasferito la produzione in Romania?
Chi conosceva la novità che ti avrebbero affidato l’incarico?,Cosa conoscevi la novità che ti avrebbero affidato?,Cosa sapevi che ti avrebbero affidato?,Chi sapeva che ti avrebbero affidato l’incarico?
Chi ha fatto l’osservazione che il relatore avrebbe lasciato la penna sul tavolo?,Cosa hai fatto l’osservazione che il relatore avrebbe lasciato sul tavolo?,Cosa hai osservato che il relatore avrebbe lasciato sul tavolo?,Chi ha osservato che il relatore avrebbe lasciato la penna sul tavolo?
Chi ha fatto l’insinuazione che il cliente non avrebbe pagato la parcella dell’avvocato?,Cosa hai fatto l’insinuazione che il cliente non avrebbe pagato?,Cosa hai insinuato che il cliente non avrebbe pagato?,Chi ha insinuato che il cliente non avrebbe pagato la parcella dell’avvocato?
Chi ha sparso la voce che il querelante avrebbe affidato il caso all’avvocato?,Cosa hai sparso la voce che il querelante avrebbe affidato all’avvocato?,Cosa hai detto che il querelante avrebbe affidato all’avvocato?,Chi ha detto che il querelante avrebbe affidato il caso all’avvocato?
Chi ha rivelato il fatto che gli investitori avrebbero venduto le azioni?,Cosa hai rivelato il fatto che gli investitori avrebbero venduto?,Cosa hai rivelato che gli investitori avrebbero venduto?,Chi ha rivelato che gli investitori avrebbero venduto le azioni?
Chi ha fatto notare il fatto che Teresa avrebbe già completato il lavoro?,Cosa hai fatto notare il fatto che Teresa avrebbe già completato?,Cosa hai fatto notare che Teresa avrebbe già completato?,Chi ha fatto notare che Teresa avrebbe già completato il lavoro?
Chi ha fatto trapelare l’indiscrezione che il consulente avrebbe progettato una soluzione alternativa?,Cosa hai fatto trapelare l’indiscrezione che il consulente avrebbe progettato?,Cosa hai fatto trapelare che il consulente avrebbe progettato?,Chi ha fatto trapelare che il consulente avrebbe progettato una soluzione alternativa?
Chi ha riferito il fatto che il meccanico avrebbe ristretto i freni della bicicletta?,Cosa hai riferito il fatto che il meccanico avrebbe ristretto?,Cosa hai riferito che il meccanico avrebbe ristretto?,Chi ha riferito che il meccanico avrebbe ristretto i freni della bicicletta?
Chi conosceva la novità che avrebbero affidato a te l’incarico?,Cosa conoscevi la novità che avrebbero affidato a te?,Cosa sapevi che avrebbero affidato a te?,Chi sapeva che avrebbero affidato a te l’incarico?
Chi ha fatto l'osservazione che la decisione avrebbe creato un precedente?,Cosa hai fatto l'osservazione che la decisione avrebbe creato?,Cosa hai osservato che la decisione avrebbe creato?,Chi ha osservato che la decisione avrebbe creato un precedente?
Chi ha fatto la previsione che il cronista avrebbe analizzato l’evento nei minimi dettagli?,Cosa hai fatto la previsione che il cronista avrebbe analizzato nei minimi dettagli?,Cosa hai previsto che il cronista avrebbe analizzato nei minimi dettagli?,Chi ha previsto che il cronista avrebbe analizzato l’evento nei minimi dettagli?
Chi ha negato il fatto che i dirigenti avrebbero deliberatamente eluso la disposizione ministeriale?,Cosa hai negato il fatto che i dirigenti avrebbero deliberatamente eluso?,Cosa hai negato che i dirigenti avrebbero deliberatamente eluso?,Chi ha negato che i dirigenti avrebbero deliberatamente eluso la disposizione ministeriale?
Chi ha commentato la notizia che la commissione avrebbe acquisito la documentazione?,Cosa hai commentato la notizia che la commissione avrebbe acquisito?,Cosa hai osservato che la commissione avrebbe acquisito?,Chi ha osservato che la commissione avrebbe acquisito la documentazione?
