island structure and short distance dependency,island structure and long distance dependency (ungrammatical),nonisland structure and long distance dependency,nonisland structure and short distance dependency
Chi è partito per Parigi dopo aver fatto le valigie?,Che cosa Gianni è partito per Parigi dopo aver fatto?,Che cosa pensi che Gianni avrebbe fatto?,Chi pensa che Gianni avrebbe fatto le valigie?
Chi diffonderà la notizia dopo che Gianni avrà comprato le azioni?,Che cosa il direttore diffonderà la notizia dopo che Gianni avrà comprato?,Che cosa dici che Gianni avrebbe comprato?,Chi dice che Gianni avrebbe comprato le azioni?
Chi ha rifiutato l’offerta dopo aver ottenuto un aumento di stipendio?,Che cosa Maria ha rifiutato l’offerta dopo aver ottenuto?,Che cosa pensi che Maria avrebbe ottenuto?,Chi pensa che Maria avrebbe ottenuto un aumento di stipendio?
Chi ha lavato i pavimenti dopo aver spolverato i mobili?,Che cosa Paola ha lavato i pavimenti dopo aver spolverato?,Che cosa pensi che Paola avrebbe spolverato?,Chi pensa che Paola avrebbe spolverato i mobili?
Chi cerca un libro sull'argomento dopo aver guardato un programma televisivo?,Che cosa il tuo amico cerca un libro sull'argomento dopo aver guardato?,Che cosa dici che il tuo amico avrebbe guardato?,Chi dice che il tuo amico avrebbe guardato un programma televisivo?
Chi ha rinviato le vacanze dopo aver visto le previsioni del tempo?,Che cosa gli studenti hanno rinviato le vacanze dopo aver visto?,Che cosa dici che gli studenti avrebbero visto?,Chi dice che gli studenti avrebbero visto le previsioni del tempo?
Chi ha cercato Tiziano dopo aver organizzato una festa?,Che cosa Francesco ha cercato Tiziano dopo aver organizzato?,Che cosa dici che Francesco avrebbe organizzato?,Chi dice che Francesco avrebbe organizzato una festa?
Chi ha lasciato la penna sul tavolo dopo aver concluso la riunione?,Che cosa il relatore ha lasciato la penna sul tavolo dopo aver concluso?,Che cosa dici che il relatore avrebbe concluso?,Chi dice che il relatore avrebbe concluso la riunione?
Chi ha risolto il problema di matematica dopo aver studiato la teoria?,Che cosa lo studente ha risolto il problema di matematica dopo aver studiato?,Che cosa dici che lo studente avrebbe studiato?,Chi dice che lo studente avrebbe studiato la teoria?
Chi ha versato la quota annuale dopo aver rinnovato l’iscrizione?,Che cosa il socio ha versato la quota annuale dopo aver rinnovato?,Che cosa dici che il socio avrebbe rinnovato?,Chi dice che il socio avrebbe rinnovato l’iscrizione?
Chi ha approvato la legge dopo aver valutato gli emendamenti?,Che cosa i deputati hanno approvato la legge dopo aver valutato?,Che cosa dici che i deputati avrebbero valutato?,Chi dice che i deputati avrebbero valutato gli emendamenti?
Chi ha licenziato Francesca dopo aver preso la decisione?,Che cosa Teresa ha licenziato Francesca dopo aver preso?,Che cosa dici che Teresa avrebbe preso?,Chi dice che Teresa avrebbe preso la decisione?
Chi ha aperto il cinema dopo aver visto il film?,Che cosa il compositore ha aperto il cinema dopo aver visto?,Che cosa dici che il compositore avrebbe visto?,Chi dice che il compositore avrebbe visto il film?
Chi ha escluso quei candidati dopo averne accertato le scorrettezze?,Che cosa i commissari hanno escluso quei candidati dopo averne accertato?,Che cosa dici che i commissari avrebbero accertato?,Chi dice che i commissari avrebbero accertato le scorrettezze?
Chi ha proposto l'emendamento dopo che la maggioranza ha raggiunto un accordo?,Che cosa il Senato ha proposto l'emendamento dopo che la maggioranza ha raggiunto?,Che cosa dici che la maggioranza avrebbe raggiunto?,Chi dice che la maggioranza avrebbe raggiunto un accordo?
Chi ha riparato il frigorifero dopo che Luca ha rotto il termostato?,Che cosa il tecnico ha riparato il frigorifero dopo che Luca ha rotto?,Che cosa dici che Luca avrebbe rotto?,Chi dice che Luca avrebbe rotto il termostato?
