island structure and short distance dependency,island structure and long distance dependency (ungrammatical),nonisland structure and long distance dependency,nonisland structure and short distance dependency
Di chi pensi che la decisione del sindaco avvantaggi gli interessi?,Di chi pensi che la decisione avvantaggi gli interessi degli agricoltori?,Chi pensi che abbia assunto la decisione?,Chi pensi che la decisione avvantaggi?
Di chi pensi che la moto di Gianni abbia urtato l'auto?,Di chi pensi che la moto abbia urtato l'auto di Chiara?,Chi pensi che abbia guidato la moto?,Chi pensi che la moto abbia urtato?
Di chi pensi che il cane di Gianni abbia morso l'amico?,Di chi pensi che il cane abbia morso l'amico di Chiara?,Chi pensi che abbia accarezzato il cane?,Chi pensi che il cane abbia morso?
Di chi pensi che la foto dell’artista abbia suscitato l'indignazione?,Di chi pensi che la foto abbia suscitato l'indignazione del pubblico?,Chi pensi che abbia scattato le foto?,Chi pensi che la foto abbia scandalizzato?
Di chi pensi che l’indirizzo di Chiara abbia causato la confusione?,Di chi pensi che l’indirizzo abbia causato la confusione di Marta?,Chi pensi che abbia dimenticato l'indirizzo? ,Chi pensi che l'indirizzo abbia confuso?
Di chi pensi che il regalo del lobbista abbia compromesso la reputazione?,Di chi pensi che il regalo abbia compromesso la reputazione del senatore?,Chi pensi che abbia ricevuto il regalo??,Chi pensi che il regalo abbia compromesso?
Di chi credi che le forbici del barbiere abbiano tagliato i capelli?,Di chi credi che le forbici abbiano tagliato i capelli di Luisa?,Chi pensi che abbia affilato le forbici?,Chi pensi che le forbici abbiano tagliato?
Di chi pensi che la tisana dell'erborista abbia alleviato i dolori?,Di chi pensi che la tisana abbia alleviato i dolori di Luisa?,Chi credi che abbia infuso la tisana?,Chi credi che la tisana abbia guarito?
Di chi pensi che la ricetta di Luisa abbia stuzzicato l'appetito?,Di chi pensi che la ricetta abbia stuzzicato l'appetito di Gianni?,Chi credi che abbia preparato la ricetta?,Chi credi che la ricetta abbia stuzzicato?
Di chi pensi che gli esercizi di Gianni abbiano tonificato i muscoli?,Di chi pensi che gli esercizi abbiano tonificato i muscoli di Luisa?,Chi credi che abbia programmato gli esercizi?,Chi credi che gli esercizi abbiano tonificato?
Di chi pensi che le promesse di Luisa abbiano alimentato le aspettative?,Di chi pensi che le promesse abbiano alimentato le aspettative di Gianni?,Chi credi che abbia elargito le promesse?,Chi credi che le promesse abbiano illuso?
Di chi pensi che la pomata del dermatologo abbia lenito il gonfiore?,Di chi pensi che la pomata abbia lenito il gonfiore di Luisa?,Chi credi che abbia spalmato la pomata?,Chi credi che la pomata abbia confortato?
Di chi pensi che la bellezza di Luisa abbia risvegliato i sensi?,Di chi pensi che la bellezza abbia risvegliato i sensi di Gianni?,Chi credi che abbia notato la bellezza?,Chi credi che la bellezza abbia risvegliato?
Di chi pensi che l'incoraggiamento di Gianni abbia risollevato il morale?,Di chi pensi che l'incoraggiamento abbia risollevato il morale di Luisa?,Chi credi che abbia apprezzato l'incoraggiamento?,Chi credi che l'incoraggiamento abbia risollevato?
Di chi pensi che la diagnosi del medico abbia dissipato le preoccupazioni?,Di chi pensi che la diagnosi abbia dissipato le preoccupazioni di Luisa?,Chi credi che abbia formulato la diagnosi?,Chi credi che la diagnosi abbia sollevato?
Di chi pensi che l'assistenza di Gianni abbia valorizzato le capacità?,Di chi pensi che l'assistenza abbia valorizzato le capacità di Luisa?,Chi credi che abbia prestato assistenza?,Chi credi che l'assistenza abbia valorizzato?
Di chi pensi che la grazia di Luisa abbia sciolto la freddezza?,Di chi pensi che la grazia abbia sciolto la freddezza di Gianni?,Chi credi che abbia celato la grazia?,Chi credi che la grazia abbia sedotto?
Di chi pensi che la gentilezza di Gianni abbia lusingato la vanità?,Di chi pensi che la gentilezza abbia lusingato la vanità di Luisa?,Chi credi che abbia ostentato la gentilezza?,Chi credi che la gentilezza abbia lusingato?
Di chi pensi che la battuta del comico abbia suscitato l'ilarità?,Di chi pensi che la battuta abbia suscitato l'ilarità dei presenti?,Chi credi che abbia fatto la battuta?,Chi credi che la battuta abbia divertito?
Di chi pensi che l'iniezione dell'infermiera abbia indolenzito il braccio?,Di chi pensi che l'iniezione abbia indolenzito il braccio di Luisa,Chi credi che abbia eseguito l'iniezione?,Chi credi che l'iniezione abbia indolenzito?
Di chi pensi che il consiglio del commerciante abbia influenzato la scelta?,Di chi pensi che il consiglio abbia influenzato la scelta dell'acquirente,Chi credi che abbia dato il consiglio?,Chi credi che il consiglio abbia influenzato?
Di chi pensi che il massaggio del fisioterapista abbia tonificato i muscoli?,Di chi pensi che il massaggio abbia tonificato i muscoli di Gianni?,Chi credi che abbia eseguito il massaggio?,Chi credi che il massaggio abbia tonificato?
Di chi pensi che il trattamento dell'ortopedico abbia curato la contrattura?,Di chi pensi che il trattamento abbia curato la contrattura del paziente?,Chi credi che abbia prescritto il trattamento?,Chi credi che il trattamento abbia curato?
Di chi pensi che la manicure dell'estetista abbia smaltato le unghie?,Di chi pensi che la manicure abbia smaltato le unghie della ragazza?,Chi credi che abbia eseguito la manicure?,Chi credi che la manicure abbia abbellito?
Di chi pensi che l'intervento del dentista abbia estratto il dente?,Di chi pensi che l'intervento abbia estratto il dente di Luisa?,Chi credi che abbia eseguito l'intervento?,Chi credi che l'intervento abbia riguardato?
Di chi pensi che lo scoop del giornalista abbia preannunciato le dimissioni?,Di chi pensi che lo scoop abbia preannunciato le dimissioni del politico?,Chi credi che abbia fatto lo scoop?,Chi credi che lo scoop abbia riguardato?
Di chi pensi che l'intercettazione del magistrato abbia rivelato il delitto?,Di chi pensi che l'intercettazione abbia rivelato il delitto del mafioso?,Chi credi che abbia disposto l'intercettazione?,Chi credi che l'intercettazione ascoltasse?
Di chi pensi che gli appunti della studentessa abbiano facilitato l'esame?,Di chi pensi che gli appunti abbiano facilitato l'esame del collega?,Chi credi che abbia preso gli appunti?,Chi credi che gli appunti aiutassero?
Di chi pensi che il test dell'esaminatrice abbia complicato il compito?,Di chi pensi che il test abbia complicato il compito dei volontari?,Chi credi che abbia somministrato il test?,Chi credi che il test confondesse?
Di chi pensi che il film del regista abbia catturato l'attenzione?,Di chi pensi che il film abbia catturato l'attenzione degli spettatori?,Chi credi che abbia girato il film?,Chi credi che il film abbia coinvolto?
Di chi pensi che il programma del candidato abbia conquistato i voti?,Di chi pensi che il programma abbia conquistato i voti del ceto colto?,Chi credi che abbia redatto il programma?,Chi credi che il programma favorisse?
